SOL_ID,PROCEDURE,START_TIME,END_TIME,EXECUTION_SECONDS,STATUS,ERROR_DETAILS
0016,RC006,28-05-2025 16:50:49,28-05-2025 16:50:49,0.004,SUCCESS,-
0015,RC008,28-05-2025 16:50:49,28-05-2025 16:50:49,0.006,SUCCESS,-
0015,RC006,28-05-2025 16:50:49,28-05-2025 16:50:49,0.006,SUCCESS,-
0015,RC009,28-05-2025 16:50:49,28-05-2025 16:50:49,0.006,SUCCESS,-
0016,RC009,28-05-2025 16:50:49,28-05-2025 16:50:49,0.004,SUCCESS,-
0018,RC002,28-05-2025 16:50:49,28-05-2025 16:50:49,0.004,SUCCESS,-
0017,RC006,28-05-2025 16:50:49,28-05-2025 16:50:49,0.004,SUCCESS,-
0017,RC008,28-05-2025 16:50:49,28-05-2025 16:50:49,0.004,SUCCESS,-
0018,RC003,28-05-2025 16:50:49,28-05-2025 16:50:49,0.004,SUCCESS,-
0018,RC001,28-05-2025 16:50:49,28-05-2025 16:50:49,0.005,SUCCESS,-
0018,RC005,28-05-2025 16:50:49,28-05-2025 16:50:49,0.005,SUCCESS,-
0004,RC001,28-05-2025 16:50:49,28-05-2025 16:50:49,0.390,SUCCESS,-
0017,RC009,28-05-2025 16:50:49,28-05-2025 16:50:49,0.007,SUCCESS,-
0018,RC008,28-05-2025 16:50:49,28-05-2025 16:50:49,0.004,SUCCESS,-
0020,RC005,28-05-2025 16:50:49,28-05-2025 16:50:49,0.005,SUCCESS,-
0019,RC005,28-05-2025 16:50:49,28-05-2025 16:50:49,0.005,SUCCESS,-
0020,RC003,28-05-2025 16:50:49,28-05-2025 16:50:49,0.005,SUCCESS,-
0018,RC006,28-05-2025 16:50:49,28-05-2025 16:50:49,0.004,SUCCESS,-
0020,RC002,28-05-2025 16:50:49,28-05-2025 16:50:49,0.005,SUCCESS,-
0020,RC001,28-05-2025 16:50:49,28-05-2025 16:50:49,0.005,SUCCESS,-
0019,RC002,28-05-2025 16:50:49,28-05-2025 16:50:49,0.005,SUCCESS,-
