SOL_ID,PROCEDURE,START_TIME,END_TIME,EXECUTION_SECONDS,STATUS,ERROR_DETAILS
0013,RC008,28-05-2025 15:40:13,28-05-2025 15:40:13,0.014,SUCCESS,-
0014,RC005,28-05-2025 15:40:13,28-05-2025 15:40:13,0.018,SUCCESS,-
0016,RC001,28-05-2025 15:40:13,28-05-2025 15:40:13,0.015,SUCCESS,-
0014,RC003,28-05-2025 15:40:13,28-05-2025 15:40:13,0.019,SUCCESS,-
0015,RC002,28-05-2025 15:40:13,28-05-2025 15:40:13,0.021,SUCCESS,-
0016,RC002,28-05-2025 15:40:13,28-05-2025 15:40:13,0.022,SUCCESS,-
0016,RC005,28-05-2025 15:40:13,28-05-2025 15:40:13,0.022,SUCCESS,-
0015,RC003,28-05-2025 15:40:13,28-05-2025 15:40:13,0.021,SUCCESS,-
0013,RC009,28-05-2025 15:40:13,28-05-2025 15:40:13,0.020,SUCCESS,-
0007,RC005,28-05-2025 15:40:12,28-05-2025 15:40:13,0.800,SUCCESS,-
0015,RC001,28-05-2025 15:40:13,28-05-2025 15:40:13,0.023,SUCCESS,-
0015,RC005,28-05-2025 15:40:13,28-05-2025 15:40:13,0.023,SUCCESS,-
0017,RC002,28-05-2025 15:40:13,28-05-2025 15:40:13,0.017,SUCCESS,-
0016,RC006,28-05-2025 15:40:13,28-05-2025 15:40:13,0.014,SUCCESS,-
0016,RC008,28-05-2025 15:40:13,28-05-2025 15:40:13,0.013,SUCCESS,-
0017,RC001,28-05-2025 15:40:13,28-05-2025 15:40:13,0.018,SUCCESS,-
0017,RC005,28-05-2025 15:40:13,28-05-2025 15:40:13,0.018,SUCCESS,-
0014,RC009,28-05-2025 15:40:13,28-05-2025 15:40:13,0.015,SUCCESS,-
0014,RC006,28-05-2025 15:40:13,28-05-2025 15:40:13,0.019,SUCCESS,-
0014,RC008,28-05-2025 15:40:13,28-05-2025 15:40:13,0.016,SUCCESS,-
0017,RC003,28-05-2025 15:40:13,28-05-2025 15:40:13,0.021,SUCCESS,-
0003,RC002,28-05-2025 15:40:12,28-05-2025 15:40:13,0.813,SUCCESS,-
0015,RC009,28-05-2025 15:40:13,28-05-2025 15:40:13,0.012,SUCCESS,-
0018,RC001,28-05-2025 15:40:13,28-05-2025 15:40:13,0.012,SUCCESS,-
0018,RC005,28-05-2025 15:40:13,28-05-2025 15:40:13,0.012,SUCCESS,-
0019,RC001,28-05-2025 15:40:13,28-05-2025 15:40:13,0.013,SUCCESS,-
0018,RC003,28-05-2025 15:40:13,28-05-2025 15:40:13,0.012,SUCCESS,-
0019,RC005,28-05-2025 15:40:13,28-05-2025 15:40:13,0.013,SUCCESS,-
0016,RC009,28-05-2025 15:40:13,28-05-2025 15:40:13,0.013,SUCCESS,-
0018,RC002,28-05-2025 15:40:13,28-05-2025 15:40:13,0.013,SUCCESS,-
0017,RC008,28-05-2025 15:40:13,28-05-2025 15:40:13,0.008,SUCCESS,-
0019,RC003,28-05-2025 15:40:13,28-05-2025 15:40:13,0.013,SUCCESS,-
0015,RC008,28-05-2025 15:40:13,28-05-2025 15:40:13,0.014,SUCCESS,-
0020,RC001,28-05-2025 15:40:13,28-05-2025 15:40:13,0.006,SUCCESS,-
0017,RC006,28-05-2025 15:40:13,28-05-2025 15:40:13,0.009,SUCCESS,-
0015,RC006,28-05-2025 15:40:13,28-05-2025 15:40:13,0.015,SUCCESS,-
0019,RC002,28-05-2025 15:40:13,28-05-2025 15:40:13,0.015,SUCCESS,-
0020,RC002,28-05-2025 15:40:13,28-05-2025 15:40:13,0.012,SUCCESS,-
0017,RC009,28-05-2025 15:40:13,28-05-2025 15:40:13,0.014,SUCCESS,-
0020,RC005,28-05-2025 15:40:13,28-05-2025 15:40:13,0.013,SUCCESS,-
0020,RC003,28-05-2025 15:40:13,28-05-2025 15:40:13,0.013,SUCCESS,-
0009,RC002,28-05-2025 15:40:12,28-05-2025 15:40:13,0.821,SUCCESS,-
0019,RC009,28-05-2025 15:40:13,28-05-2025 15:40:13,0.010,SUCCESS,-
0018,RC008,28-05-2025 15:40:13,28-05-2025 15:40:13,0.011,SUCCESS,-
0020,RC006,28-05-2025 15:40:13,28-05-2025 15:40:13,0.010,SUCCESS,-
0019,RC008,28-05-2025 15:40:13,28-05-2025 15:40:13,0.011,SUCCESS,-
0018,RC006,28-05-2025 15:40:13,28-05-2025 15:40:13,0.012,SUCCESS,-
0018,RC009,28-05-2025 15:40:13,28-05-2025 15:40:13,0.011,SUCCESS,-
0019,RC006,28-05-2025 15:40:13,28-05-2025 15:40:13,0.012,SUCCESS,-
0020,RC008,28-05-2025 15:40:13,28-05-2025 15:40:13,0.008,SUCCESS,-
0020,RC009,28-05-2025 15:40:13,28-05-2025 15:40:13,0.008,SUCCESS,-
0006,RC005,28-05-2025 15:40:12,28-05-2025 15:40:13,0.831,SUCCESS,-
0004,RC002,28-05-2025 15:40:12,28-05-2025 15:40:13,0.834,SUCCESS,-
0006,RC003,28-05-2025 15:40:12,28-05-2025 15:40:13,0.839,SUCCESS,-
